Age,latitude,longitude,Family size
20,12.9766,77.5993,4
24,12.977,77.5773,3
22,12.9551,77.6593,3
22,12.9473,77.5616,6
22,12.985,77.5533,4
27,12.9299,77.6848,2
22,12.977,77.5773,3
24,12.9828,77.6131,3
23,12.9766,77.5993,2
23,12.9854,77.7081,4
22,12.985,77.5533,5
23,12.977,77.5773,2
23,12.8988,77.5764,5
21,12.977,77.5773,4
23,12.9438,77.5738,5
24,12.8893,77.6399,6
28,12.9783,77.6408,2
23,12.982,77.6256,3
25,12.8988,77.5764,4
21,12.9783,77.6408,1
24,12.977,77.5773,3
22,13.0298,77.6047,4
22,12.9983,77.6409,4
23,12.9925,77.5633,4
21,12.9306,77.5434,3
25,12.982,77.6256,3
22,12.9353,77.5585,5
22,12.9155,77.5135,3
23,12.9854,77.7081,3
22,13.0019,77.5713,4
22,12.9698,77.75,5
22,12.9783,77.6408,4
25,12.9261,77.6221,4
22,12.985,77.5533,5
22,12.9119,77.6446,2
25,12.9306,77.5434,3
25,12.977,77.5773,5
32,12.982,77.6256,5
23,12.9438,77.5738,3
23,12.8988,77.5764,4
30,12.9662,77.6068,4
23,12.9565,77.5484,3
23,12.9925,77.5633,4
22,12.985,77.5533,5
22,12.985,77.5533,5
27,12.9261,77.6221,2
24,12.977,77.5773,3
23,12.977,77.5773,2
23,12.982,77.6256,3
22,12.985,77.5533,5
23,13.0206,77.6479,5
23,12.977,77.5773,2
24,12.977,77.5773,3
25,12.9635,77.5821,2
22,12.9306,77.5434,3
28,13.0067,77.545,2
22,12.8845,77.6036,1
24,12.977,77.5773,3
31,12.9119,77.6446,5
25,13.0067,77.545,4
23,12.8988,77.5764,5
22,12.8845,77.6036,3
23,13.0158,77.539,1
23,12.9343,77.6044,4
23,13.0019,77.5713,2
25,13.0012,77.5995,6
24,12.9442,77.6076,4
23,13.0487,77.5923,4
23,13.0487,77.5923,4
24,12.9438,77.5738,4
22,12.9889,77.5741,4
24,12.9335,77.5691,3
25,12.9766,77.5993,3
23,12.8845,77.6036,2
26,13.0019,77.5713,4
24,13.102,77.5864,3
26,12.9048,77.6821,4
21,12.977,77.5773,4
22,12.977,77.5773,3
24,12.9337,77.59,5
24,12.9037,77.5376,4
23,12.977,77.5773,3
23,12.9343,77.6044,3
22,12.9438,77.5738,3
23,12.977,77.5773,3
24,12.9783,77.6408,4
24,12.9337,77.59,5
25,12.977,77.5773,1
25,12.977,77.5773,5
28,13.0289,77.54,2
27,13.0289,77.54,5
26,12.9698,77.75,1
22,12.977,77.5773,2
24,12.977,77.5773,3
23,12.9561,77.5921,1
25,12.977,77.5773,1
23,13.0206,77.6479,5
23,13.0206,77.6479,5
26,12.9579,77.6309,5
32,13.014,77.5658,3
24,12.9335,77.5691,3
23,12.9442,77.6076,2
22,12.9698,77.75,3
24,12.9438,77.5738,3
26,12.9261,77.6221,2
28,12.9698,77.75,3
26,12.9698,77.75,2
25,12.9343,77.6044,1
25,12.9698,77.75,2
18,12.9635,77.5821,5
21,12.977,77.5773,4
25,12.9343,77.6044,1
25,12.9925,77.5633,2
23,13.0206,77.6479,5
23,12.985,77.5533,2
25,12.9551,77.6593,4
31,13.0289,77.54,5
24,13.0138,77.5877,2
32,12.9261,77.6221,5
25,12.9766,77.5993,3
27,12.9766,77.5993,5
26,12.9766,77.5993,3
26,12.9635,77.5821,3
32,12.9635,77.5821,5
24,12.9635,77.5821,6
27,12.9635,77.5821,3
23,12.977,77.5773,3
25,12.977,77.5773,4
23,12.977,77.5773,3
23,13.0487,77.5923,4
28,13.0019,77.5713,3
32,13.0019,77.5713,1
23,13.0019,77.5713,2
19,13.0019,77.5713,2
19,12.9537,77.6176,4
27,12.9698,77.75,2
25,12.998,77.6227,3
33,12.998,77.6227,5
26,12.998,77.6227,3
22,12.9343,77.6044,4
23,13.102,77.5864,3
22,13.0158,77.539,3
25,12.998,77.6227,2
30,12.998,77.6227,5
24,13.0138,77.5877,3
25,13.0138,77.5877,3
23,12.977,77.5773,3
24,13.0496,77.4941,4
32,12.9783,77.6408,4
22,12.9889,77.5741,4
23,12.977,77.5773,3
23,13.0487,77.5923,4
20,12.9579,77.6309,2
21,12.9579,77.6309,2
24,12.9579,77.6309,5
23,13.0487,77.5923,4
25,12.985,77.5533,3
32,12.985,77.5533,3
27,12.985,77.5533,5
20,12.9337,77.59,2
21,12.9337,77.59,2
26,12.9337,77.59,3
25,13.0166,77.6804,4
26,13.014,77.5658,3
26,13.014,77.5658,3
27,13.0503,77.5529,4
27,13.0503,77.5529,5
24,12.9883,77.5987,5
25,13.0626,77.5284,2
20,13.0626,77.5284,2
22,13.0626,77.5284,1
26,13.0166,77.6804,3
27,13.0166,77.6804,1
25,12.9551,77.6593,3
24,12.9551,77.6593,2
23,12.9551,77.6593,6
22,12.957,77.5637,2
26,12.957,77.5637,3
26,12.957,77.5637,1
25,12.957,77.5637,3
29,12.957,77.5637,3
23,12.8652,77.524,3
22,12.9698,77.75,4
22,12.9889,77.5741,2
32,12.9889,77.5741,5
28,12.9925,77.5633,1
22,12.977,77.5773,2
25,12.9757,77.5586,2
26,12.9757,77.5586,2
31,13.0487,77.5923,6
24,13.0487,77.5923,3
24,12.9662,77.6068,2
31,12.9662,77.6068,5
26,12.9343,77.6044,2
24,12.9343,77.6044,2
22,12.9343,77.6044,3
19,12.9442,77.6076,6
25,12.9442,77.6076,6
23,12.9442,77.6076,6
23,13.0298,77.6047,2
23,12.9261,77.6221,2
24,12.9621,77.5376,5
22,12.8845,77.6036,4
26,12.9048,77.6821,4
25,12.9048,77.6821,3
20,12.9261,77.6221,2
29,12.9261,77.6221,4
23,12.977,77.5773,1
25,12.9783,77.6408,2
29,12.9783,77.6408,4
27,12.9217,77.5936,6
25,13.0206,77.6479,3
21,13.0012,77.5995,2
23,13.0223,77.7132,3
24,12.9337,77.59,4
32,12.982,77.6256,3
28,13.0262,77.62,5
26,12.9217,77.5936,2
31,13.0078,77.5577,5
27,13.0078,77.5577,3
21,12.9217,77.5936,1
23,12.9105,77.4842,2
26,12.9105,77.4842,4
32,12.9037,77.5376,5
25,12.8834,77.5486,2
28,12.9149,77.5635,2
21,12.9149,77.5635,3
24,12.9706,77.6529,2
26,12.9706,77.6529,5
32,12.9706,77.6529,3
29,12.8845,77.6036,6
21,12.9783,77.6408,5
24,13.0103,77.5796,3
26,13.0103,77.5796,2
25,12.9306,77.5434,3
29,13.0641,77.5931,3
22,13.0158,77.539,3
24,12.9561,77.5921,2
27,12.8845,77.6036,2
23,12.9369,77.6407,3
32,12.9369,77.6407,6
22,12.9369,77.6407,2
28,12.9369,77.6407,3
23,13.0158,77.539,2
30,13.0809,77.5565,1
21,13.0641,77.5931,3
26,12.9859,77.6713,6
25,12.9859,77.6713,3
31,12.9866,77.4904,1
23,12.9847,77.5491,2
29,12.9847,77.5491,3
21,12.9847,77.5491,6
20,12.9299,77.6848,3
22,12.9299,77.6848,2
30,12.9828,77.6131,6
27,12.989,77.5332,3
23,12.977,77.5773,2
30,12.9251,77.4992,6
23,12.9967,77.7582,3
28,12.9967,77.7582,6
30,12.9967,77.7582,6
24,12.957,77.5637,2
21,12.957,77.5637,2
23,12.9889,77.5741,3
25,13.0206,77.6479,4
24,12.8893,77.6399,2
26,12.8893,77.6399,3
25,12.9967,77.7582,2
22,12.9783,77.6408,3
26,12.9783,77.6408,2
23,12.9925,77.5633,2
21,12.9925,77.5633,2
25,12.9561,77.5921,3
24,12.9561,77.5921,2
22,13.0734,77.5464,2
23,13.0487,77.5923,4
24,12.9515,77.4921,3
22,12.9515,77.4921,2
30,12.9719,77.5128,5
23,12.9048,77.6821,4
19,12.9048,77.6821,6
21,13.0103,77.5796,2
23,13.0103,77.5796,4
24,12.8893,77.6399,3
26,12.9828,77.6131,2
26,12.9757,77.5586,2
25,12.9757,77.5586,2
28,12.9757,77.5586,5
25,13.0734,77.5464,3
20,13.0734,77.5464,2
27,13.0734,77.5464,6
25,13.0626,77.5284,3
24,13.0626,77.5284,5
25,12.977,77.5773,1
25,12.998,77.6227,3
24,13.0626,77.5284,5
24,13.0626,77.5284,3
22,13.0138,77.5877,1
28,13.0138,77.5877,2
25,13.014,77.5658,6
22,12.9551,77.6593,3
22,12.9473,77.5616,6
22,12.985,77.5533,4
27,12.9299,77.6848,2
22,12.977,77.5773,3
24,12.9828,77.6131,3
23,12.9766,77.5993,2
23,12.9854,77.7081,4
22,12.985,77.5533,5
23,12.977,77.5773,2
32,12.9037,77.5376,5
25,12.8834,77.5486,2
28,12.9149,77.5635,2
21,12.9149,77.5635,3
24,12.9706,77.6529,2
26,12.9706,77.6529,5
32,12.9706,77.6529,3
29,12.8845,77.6036,6
21,12.9783,77.6408,5
24,13.0103,77.5796,3
26,13.0103,77.5796,2
21,12.9306,77.5434,3
29,13.0641,77.5931,3
22,13.0158,77.539,3
24,12.9561,77.5921,2
27,12.8845,77.6036,2
23,12.9369,77.6407,3
32,12.9369,77.6407,6
22,12.9369,77.6407,2
22,12.8845,77.6036,4
26,12.9048,77.6821,4
25,12.9048,77.6821,3
20,12.9261,77.6221,2
29,12.9261,77.6221,4
23,12.977,77.5773,1
25,12.9783,77.6408,2
29,12.9783,77.6408,4
27,12.9217,77.5936,6
25,13.0206,77.6479,3
21,13.0012,77.5995,2
23,13.0223,77.7132,3
24,12.9337,77.59,4
22,12.982,77.6256,3
28,13.0262,77.62,5
26,12.9217,77.5936,2
22,12.8845,77.6036,4
26,12.9048,77.6821,4
25,12.9048,77.6821,3
20,12.9261,77.6221,2
29,12.9261,77.6221,4
23,12.977,77.5773,1
25,12.9783,77.6408,2
29,12.9783,77.6408,4
27,12.9217,77.5936,6
25,13.0206,77.6479,3
21,13.0012,77.5995,2
24,12.9706,77.6529,2
26,12.9706,77.6529,5
32,12.9706,77.6529,3
29,12.8845,77.6036,6
21,12.9783,77.6408,5
24,13.0103,77.5796,3
26,13.0103,77.5796,2
31,12.9306,77.5434,3
29,13.0641,77.5931,3
22,13.0158,77.539,3
24,12.9561,77.5921,2
27,12.8845,77.6036,2
23,12.9369,77.6407,3
30,12.9369,77.6407,6
22,12.9369,77.6407,2
28,12.9369,77.6407,3
23,13.0158,77.539,2
30,13.0809,77.5565,1
21,13.0641,77.5931,3
26,12.9859,77.6713,6
25,12.9859,77.6713,3
31,12.9866,77.4904,1
23,12.9847,77.5491,2
22,12.985,77.5533,4
27,12.9299,77.6848,2
22,12.977,77.5773,3
24,12.9828,77.6131,3
23,12.9766,77.5993,2
23,12.9854,77.7081,4
22,12.985,77.5533,5
23,12.977,77.5773,2
23,12.8988,77.5764,5
